respondent_id,department,satisfaction,tenure_years,would_recommend,seat_count,comment
R00085,Engineering,Very satisfied,13.0,False,20,
R00086,Sales,Dissatisfied,3.6,True,36,Too slow on large files
R00087,Operations,Satisfied,5.4,True,26,Love the export options
R00088,Operations,Satisfied,2.2,True,7,Works well for our team
R00089,Sales,Neutral,12.5,True,19,Too slow on large files
R00090,Engineering,Very satisfied,5.5,True,21,
R00091,Support,Satisfied,6.3,True,18,Too slow on large files
R00092,Engineering,Very dissatisfied,9.0,True,30,Works well for our team
R00093,Finance,Satisfied,3.2,True,32,Onboarding was confusing
R00094,Sales,Satisfied,1.3,True,34,Works well for our team
R00095,Engineering,Satisfied,0.8,True,22,Works well for our team
R00096,Design,Satisfied,1.5,True,11,Needs better reporting
R00097,Engineering,Satisfied,1.5,True,1,Needs better reporting
R00098,Engineering,Very satisfied,0.9,True,4,Love the export options
R00099,Support,Satisfied,2.3,False,21,Needs better reporting
R00100,Sales,Dissatisfied,4.2,True,12,Love the export options
R00101,Support,Very dissatisfied,2.6,True,32,Needs better reporting
R00102,Operations,Very satisfied,0.6,True,38,
R00103,Design,Satisfied,1.9,True,34,Needs better reporting
R00104,Engineering,Neutral,1.8,True,2,Too slow on large files
R00105,Engineering,Very satisfied,2.2,False,20,Onboarding was confusing
R00106,Design,Very satisfied,0.1,True,30,Too slow on large files
R00107,Sales,Dissatisfied,1.0,True,34,
R00108,Support,Neutral,6.0,True,2,Love the export options
R00109,Operations,Very satisfied,3.9,True,21,
R00110,Engineering,Very satisfied,3.7,True,20,
R00111,Finance,Dissatisfied,1.3,False,25,Onboarding was confusing
R00112,Support,Satisfied,0.3,False,4,Works well for our team
R00113,Sales,Satisfied,2.3,False,16,Works well for our team
R00114,Finance,Satisfied,4.9,False,32,Needs better reporting
R00115,Engineering,Very satisfied,2.6,True,5,Too slow on large files
R00116,Engineering,Very satisfied,3.9,True,32,Works well for our team
R00117,Engineering,Very satisfied,6.7,False,30,Too slow on large files
R00118,Engineering,Satisfied,2.6,False,5,Onboarding was confusing
R00119,Support,Very satisfied,0.9,True,30,Works well for our team
R00120,Design,Satisfied,4.9,True,14,Works well for our team
R00121,Sales,Very satisfied,2.3,True,7,
R00122,Operations,Very satisfied,6.3,True,25,Works well for our team
R00123,Engineering,Satisfied,0.6,True,12,Needs better reporting
R00124,Engineering,Dissatisfied,2.9,True,32,Works well for our team
R00125,Design,Dissatisfied,3.1,True,37,Onboarding was confusing
R00126,Finance,Satisfied,4.1,True,28,Works well for our team
R00127,Engineering,Very satisfied,4.2,False,38,Love the export options
R00128,Support,Neutral,0.5,True,29,Needs better reporting
R00129,Finance,Dissatisfied,2.0,True,14,Onboarding was confusing
R00130,Operations,Dissatisfied,5.7,True,29,Needs better reporting
R00131,Support,Satisfied,1.7,True,39,Needs better reporting
R00132,Design,Very satisfied,7.1,True,39,
R00133,Sales,Very satisfied,3.5,True,33,
R00134,Support,Satisfied,0.5,True,16,
R00135,Engineering,Satisfied,1.1,True,36,Too slow on large files
R00136,Support,Dissatisfied,1.8,True,8,Love the export options
R00137,Support,Satisfied,5.9,False,13,Love the export options
R00138,Design,Satisfied,1.9,True,14,Works well for our team
R00139,Operations,Satisfied,3.1,True,18,Works well for our team
R00140,Engineering,Very satisfied,6.7,True,29,Love the export options
R00141,Support,Very satisfied,4.5,True,16,Too slow on large files
R00142,Engineering,Satisfied,2.9,True,19,Love the export options
R00143,Operations,Neutral,1.8,True,15,Works well for our team
R00144,Design,Neutral,2.3,False,25,Too slow on large files
R00145,Sales,Dissatisfied,0.8,True,38,
R00146,Sales,Neutral,5.0,True,20,Too slow on large files
R00147,Operations,Very satisfied,3.7,False,7,Needs better reporting
R00148,Sales,Dissatisfied,4.5,True,26,Works well for our team
R00149,Sales,Very dissatisfied,1.4,False,38,Works well for our team
R00150,Finance,Satisfied,3.4,False,28,Love the export options
R00151,Sales,Satisfied,2.5,True,19,
R00152,Sales,Very satisfied,0.9,True,39,Onboarding was confusing
R00153,Support,Satisfied,,True,30,Love the export options
R00154,Support,Very dissatisfied,4.9,True,13,Needs better reporting
R00155,Engineering,Very satisfied,2.3,True,29,Onboarding was confusing
R00156,Operations,Dissatisfied,2.3,True,19,
R00157,Support,Dissatisfied,7.6,True,23,Love the export options
R00158,Support,Dissatisfied,1.5,True,14,Too slow on large files
R00159,Engineering,Satisfied,1.3,False,17,
R00160,Engineering,Satisfied,9.0,False,15,
R00161,Sales,Very satisfied,1.0,False,25,Onboarding was confusing
R00162,Engineering,Neutral,9.4,False,1,Needs better reporting
R00163,Operations,Neutral,1.5,True,21,
R00164,Engineering,Very satisfied,2.3,False,14,Onboarding was confusing
R00165,Finance,Dissatisfied,1.4,True,3,Too slow on large files
R00166,Sales,Neutral,0.6,True,17,Too slow on large files
R00167,Finance,Very satisfied,4.5,True,22,
R00168,Operations,Very satisfied,2.0,True,26,
R00169,Sales,Very dissatisfied,2.4,True,24,Love the export options
R00170,Design,Neutral,5.7,True,35,Needs better reporting
R00171,Design,Very satisfied,4.1,True,23,Works well for our team
R00172,Support,Dissatisfied,1.3,True,31,Works well for our team
R00173,Engineering,Satisfied,3.2,True,38,Too slow on large files
R00174,Design,Satisfied,2.9,False,36,Needs better reporting
R00175,Engineering,Satisfied,2.6,True,9,Works well for our team
R00176,Design,Very satisfied,,True,17,Onboarding was confusing
R00177,Finance,Dissatisfied,9.0,True,24,Love the export options
R00178,Engineering,Neutral,3.9,True,6,Needs better reporting
R00179,Support,Very dissatisfied,2.3,True,15,Works well for our team
R00180,Engineering,Satisfied,,True,31,
R00181,Sales,Dissatisfied,6.2,True,36,Needs better reporting
R00182,Design,Satisfied,3.0,True,32,
R00183,Operations,Neutral,0.8,True,24,Too slow on large files
R00184,Engineering,Very satisfied,0.9,True,10,
R00185,Engineering,Satisfied,1.4,False,39,Needs better reporting
R00186,Design,Very satisfied,,False,33,
R00187,Finance,Dissatisfied,1.9,True,27,Needs better reporting
R00188,Sales,Neutral,3.5,False,28,Works well for our team
R00189,Finance,Very satisfied,1.4,True,33,Too slow on large files
R00190,Engineering,Satisfied,3.4,True,31,
R00191,Engineering,Satisfied,2.4,False,1,Works well for our team
R00192,Engineering,Neutral,2.0,True,9,Needs better reporting
R00193,Operations,Neutral,1.1,False,29,Needs better reporting
R00194,Support,Satisfied,,True,25,Too slow on large files
R00195,Design,Satisfied,4.4,True,37,Too slow on large files
R00196,Sales,Neutral,2.5,False,26,Needs better reporting
R00197,Engineering,Very satisfied,,True,9,Love the export options
R00198,Sales,Dissatisfied,3.0,False,20,Love the export options
R00199,Design,Satisfied,2.2,True,27,
R00200,Support,Dissatisfied,4.9,True,29,
R00201,Engineering,Satisfied,2.3,True,14,
R00202,Engineering,Satisfied,7.6,True,5,
R00203,Finance,Dissatisfied,4.8,False,23,Too slow on large files
R00204,Sales,Neutral,,True,4,Onboarding was confusing
R00205,Sales,Dissatisfied,4.2,False,8,Onboarding was confusing
R00206,Sales,Satisfied,1.6,True,25,Love the export options
R00207,Engineering,Neutral,1.5,True,34,Works well for our team
R00208,Sales,Dissatisfied,7.9,False,16,Too slow on large files
R00209,Sales,Very satisfied,3.7,True,9,Onboarding was confusing
R00210,Engineering,Neutral,4.5,True,17,Too slow on large files
R00211,Engineering,Very satisfied,,True,28,
R00212,Sales,Very dissatisfied,1.1,True,22,Onboarding was confusing
R00213,Finance,Satisfied,1.0,False,31,Too slow on large files
R00214,Operations,Neutral,2.2,True,12,Love the export options
R00215,Sales,Dissatisfied,1.1,True,36,Too slow on large files
R00216,Sales,Neutral,3.8,False,25,Love the export options
R00217,Support,Neutral,2.4,True,31,Too slow on large files
R00218,Operations,Neutral,3.0,True,5,Love the export options
R00219,Support,Neutral,2.9,True,34,Love the export options
R00220,Design,Neutral,0.4,True,14,Love the export options
R00221,Sales,Neutral,1.2,True,38,Needs better reporting
R00222,Sales,Very dissatisfied,2.7,True,11,Love the export options
R00223,Finance,Neutral,2.8,True,25,Love the export options
R00224,Engineering,Satisfied,,True,33,Too slow on large files
R00225,Support,Dissatisfied,8.8,True,27,Love the export options
R00226,Sales,Dissatisfied,2.3,True,21,
R00227,Engineering,Satisfied,1.5,False,38,Works well for our team
R00228,Sales,Very satisfied,0.5,True,15,Works well for our team
R00229,Engineering,Satisfied,1.9,True,37,Works well for our team
R00230,Operations,Neutral,0.6,False,3,Needs better reporting
R00231,Engineering,Satisfied,7.7,False,22,Works well for our team
R00232,Sales,Very satisfied,4.3,True,31,Needs better reporting
R00233,Engineering,Very dissatisfied,6.3,True,14,Too slow on large files
R00234,Operations,Very satisfied,,True,20,Onboarding was confusing
R00235,Support,Satisfied,0.8,True,33,Works well for our team
R00236,Engineering,Satisfied,4.4,True,12,Onboarding was confusing
R00237,Operations,Neutral,5.0,True,29,Works well for our team
R00238,Finance,Satisfied,0.6,True,4,Works well for our team
R00239,Sales,Very satisfied,1.2,True,27,
R00240,Engineering,Neutral,,False,14,Too slow on large files
R00241,Support,Neutral,0.3,False,8,Works well for our team
R00242,Finance,Very satisfied,2.0,True,38,Love the export options
R00243,Finance,Satisfied,1.1,True,38,Onboarding was confusing
R00244,Engineering,Very satisfied,2.5,True,5,
R00245,Support,Dissatisfied,2.6,True,22,Onboarding was confusing
R00246,Engineering,Satisfied,2.7,False,25,
R00247,Sales,Satisfied,2.1,True,14,
R00248,Sales,Satisfied,3.8,True,2,Onboarding was confusing
R00249,Sales,Very satisfied,5.5,True,12,Needs better reporting
R00250,Operations,Very satisfied,1.5,True,21,Needs better reporting
R00251,Sales,Satisfied,9.9,True,18,Love the export options
R00252,Support,Satisfied,8.6,True,8,Love the export options
R00253,Engineering,Satisfied,4.7,True,17,
R00254,Engineering,Very satisfied,1.4,True,3,Onboarding was confusing
R00255,Engineering,Neutral,6.1,True,9,Too slow on large files
R00256,Sales,Dissatisfied,3.5,True,36,Needs better reporting
R00257,Support,Dissatisfied,1.0,True,10,Works well for our team
R00258,Engineering,Neutral,1.6,True,20,Too slow on large files
R00259,Design,Neutral,4.8,False,30,
R00260,Engineering,Satisfied,2.9,True,7,Works well for our team
R00261,Operations,Very dissatisfied,0.8,False,19,Too slow on large files
R00262,Operations,Dissatisfied,2.0,False,30,Works well for our team
R00263,Operations,Very satisfied,4.9,False,38,
R00264,Operations,Dissatisfied,1.8,True,35,Needs better reporting
R00265,Design,Satisfied,1.3,True,7,
R00266,Engineering,Very satisfied,10.6,True,21,Needs better reporting
R00267,Sales,Dissatisfied,6.8,True,28,Too slow on large files
R00268,Design,Satisfied,0.7,True,15,Needs better reporting
R00269,Engineering,Neutral,1.7,False,16,Works well for our team
R00270,Sales,Very satisfied,3.8,False,9,
R00271,Support,Satisfied,1.2,False,10,Love the export options
R00272,Support,Dissatisfied,3.7,False,6,
R00273,Sales,Satisfied,1.1,True,3,Too slow on large files
R00274,Operations,Neutral,2.1,True,20,Onboarding was confusing
R00275,Design,Satisfied,1.6,True,14,Works well for our team
R00276,Support,Very dissatisfied,2.0,False,36,Love the export options
R00277,Finance,Dissatisfied,4.1,False,19,Needs better reporting
R00278,Engineering,Satisfied,5.6,True,30,
R00279,Engineering,Very satisfied,0.9,True,39,
R00280,Engineering,Satisfied,7.0,True,10,Works well for our team
R00281,Engineering,Dissatisfied,2.0,False,30,Needs better reporting
R00282,Engineering,Satisfied,1.7,True,27,Onboarding was confusing
R00283,Operations,Satisfied,1.9,True,34,Too slow on large files
R00284,Support,Dissatisfied,0.8,True,34,Needs better reporting
R00285,Sales,Neutral,3.2,True,1,Needs better reporting
R00286,Design,Satisfied,1.9,False,12,
R00287,Finance,Dissatisfied,7.5,True,19,
R00288,Finance,Neutral,,True,1,Too slow on large files
R00289,Engineering,Very satisfied,2.4,True,10,Needs better reporting
R00290,Sales,Neutral,2.9,True,35,
R00291,Finance,Very satisfied,2.4,False,20,Too slow on large files
R00292,Support,Very satisfied,0.5,False,22,Love the export options
R00293,Design,Neutral,,True,35,Love the export options
R00294,Sales,Neutral,4.1,True,1,
R00295,Engineering,Satisfied,3.0,True,39,Too slow on large files
R00296,Operations,Satisfied,0.8,True,15,Onboarding was confusing
R00297,Support,Neutral,1.7,False,37,Needs better reporting
R00298,Engineering,Satisfied,3.2,True,22,Love the export options
R00299,Finance,Very satisfied,2.8,False,27,Onboarding was confusing
R00300,Engineering,Very satisfied,6.5,False,29,Too slow on large files
R00301,Operations,Satisfied,2.6,True,39,Love the export options
R00302,Sales,Satisfied,2.9,True,29,Works well for our team
R00303,Finance,Neutral,3.5,True,18,Too slow on large files
R00304,Sales,Satisfied,1.7,True,17,Needs better reporting
R00305,Sales,Neutral,5.0,True,22,Love the export options
R00306,Operations,Satisfied,5.8,True,35,Needs better reporting
R00307,Finance,Satisfied,4.7,True,19,Too slow on large files
R00308,Sales,Very dissatisfied,2.9,True,19,Love the export options
R00309,Finance,Satisfied,3.6,True,6,Needs better reporting
R00310,Engineering,Satisfied,2.0,False,12,Too slow on large files
R00311,Operations,Satisfied,1.1,True,17,Works well for our team
R00312,Sales,Satisfied,3.2,False,38,
R00313,Operations,Satisfied,2.1,True,11,
R00314,Sales,Neutral,0.4,True,23,Love the export options
R00315,Engineering,Very satisfied,3.2,False,33,Love the export options
R00316,Finance,Neutral,4.8,False,21,Needs better reporting
R00317,Operations,Very satisfied,3.7,False,20,Too slow on large files
R00318,Sales,Neutral,0.8,False,3,Works well for our team
R00319,Support,Neutral,1.3,True,4,
R00320,Engineering,Satisfied,2.6,True,39,
R00321,Engineering,Satisfied,1.2,True,6,Too slow on large files
R00322,Operations,Satisfied,1.5,True,15,Needs better reporting
R00323,Sales,Very dissatisfied,1.2,False,10,
R00324,Operations,Dissatisfied,6.2,True,24,Too slow on large files
R00325,Support,Dissatisfied,9.8,True,31,
R00326,Finance,Very satisfied,1.1,True,8,Love the export options
R00327,Operations,Satisfied,3.6,True,38,Works well for our team
R00328,Finance,Dissatisfied,,True,34,Too slow on large files
R00329,Engineering,Neutral,1.0,True,13,
R00330,Finance,Very satisfied,1.4,True,12,Onboarding was confusing
R00331,Design,Satisfied,2.3,True,16,Love the export options
R00332,Engineering,Satisfied,1.9,True,2,
R00333,Engineering,Dissatisfied,4.5,True,16,Onboarding was confusing
R00334,Sales,Satisfied,4.0,True,18,Needs better reporting
R00335,Sales,Satisfied,0.7,True,20,Love the export options
R00336,Engineering,Satisfied,4.7,True,39,Needs better reporting
R00337,Sales,Very satisfied,1.5,False,16,Love the export options
R00338,Sales,Satisfied,9.7,True,26,Onboarding was confusing
R00339,Support,Very satisfied,3.1,True,21,Love the export options
R00340,Support,Satisfied,3.1,True,9,
R00341,Engineering,Dissatisfied,8.4,True,18,
R00342,Sales,Neutral,0.9,True,31,Needs better reporting
R00343,Operations,Neutral,5.1,False,15,Works well for our team
R00344,Engineering,Satisfied,3.3,True,15,Love the export options
R00345,Support,Satisfied,5.3,True,6,Onboarding was confusing
R00346,Sales,Satisfied,1.5,False,7,Too slow on large files
R00347,Sales,Satisfied,1.3,True,35,Works well for our team
R00348,Support,Neutral,,True,26,Too slow on large files
R00349,Finance,Neutral,6.9,True,15,Needs better reporting
R00350,Engineering,Satisfied,2.4,True,25,Onboarding was confusing
R00351,Support,Neutral,4.0,True,23,
R00352,Design,Satisfied,1.0,True,18,Needs better reporting
R00353,Sales,Satisfied,2.6,True,36,Onboarding was confusing
R00354,Sales,Very dissatisfied,0.6,True,26,Works well for our team
R00355,Operations,Dissatisfied,2.3,True,21,Onboarding was confusing
R00356,Sales,Very dissatisfied,1.6,False,39,Needs better reporting
R00357,Support,Neutral,1.1,False,18,
R00358,Engineering,Dissatisfied,2.1,False,10,Works well for our team
R00359,Sales,Satisfied,4.2,True,7,
R00360,Support,Neutral,1.9,True,14,Love the export options
R00361,Support,Neutral,0.5,False,38,Too slow on large files
R00362,Support,Neutral,2.8,False,29,
R00363,Design,Satisfied,,True,5,Onboarding was confusing
R00364,Sales,Dissatisfied,,True,32,Too slow on large files
R00365,Engineering,Neutral,,False,6,Works well for our team
R00366,Engineering,Very satisfied,3.1,False,16,Love the export options
R00367,Sales,Neutral,9.1,True,11,Works well for our team
R00368,Sales,Satisfied,4.1,False,35,Onboarding was confusing
R00369,Sales,Very satisfied,2.6,True,16,Works well for our team
R00370,Sales,Neutral,0.1,True,7,Needs better reporting
R00371,Engineering,Very satisfied,0.3,False,10,Works well for our team
R00372,Engineering,Satisfied,2.9,True,38,
R00373,Engineering,Very dissatisfied,0.4,False,25,Onboarding was confusing
R00374,Support,Satisfied,1.4,True,31,Love the export options
R00375,Finance,Neutral,,True,8,Onboarding was confusing
R00376,Engineering,Very satisfied,1.7,True,15,Love the export options
R00377,Engineering,Very satisfied,3.5,True,23,
R00378,Operations,Satisfied,0.9,True,13,Onboarding was confusing
R00379,Design,Satisfied,0.1,True,33,
R00380,Operations,Satisfied,1.8,True,6,Onboarding was confusing
R00381,Design,Satisfied,1.6,True,30,Onboarding was confusing
R00382,Operations,Satisfied,3.0,True,36,Needs better reporting
R00383,Design,Very dissatisfied,1.7,True,35,
R00384,Engineering,Satisfied,1.8,False,27,Works well for our team
R00385,Finance,Satisfied,0.9,True,3,Works well for our team
R00386,Sales,Very satisfied,0.3,True,4,Needs better reporting
R00387,Operations,Very satisfied,8.6,True,32,
R00388,Support,Very satisfied,5.3,True,35,Needs better reporting
R00389,Finance,Very satisfied,,True,12,Works well for our team
R00390,Sales,Very satisfied,4.4,True,12,Works well for our team
R00391,Finance,Satisfied,5.8,False,15,
R00392,Support,Dissatisfied,3.8,False,29,Needs better reporting
R00393,Design,Satisfied,1.9,True,21,Needs better reporting
R00394,Sales,Neutral,1.4,True,19,Needs better reporting
R00395,Engineering,Satisfied,16.1,False,5,Works well for our team
R00396,Support,Very satisfied,1.3,True,36,
R00397,Finance,Dissatisfied,0.9,True,29,
R00398,Finance,Dissatisfied,2.1,True,9,Onboarding was confusing
R00399,Engineering,Very satisfied,7.1,True,11,Onboarding was confusing
R00400,Engineering,Neutral,1.3,True,28,Needs better reporting
R00401,Design,Dissatisfied,2.7,True,36,Onboarding was confusing
R00402,Support,Dissatisfied,6.4,True,9,Works well for our team
R00403,Support,Satisfied,6.5,False,8,Love the export options
R00404,Sales,Very satisfied,2.2,True,19,Works well for our team
R00405,Operations,Satisfied,14.1,False,2,Too slow on large files
R00406,Engineering,Very satisfied,1.6,True,33,Works well for our team
R00407,Sales,Very dissatisfied,1.6,True,7,Works well for our team
R00408,Finance,Neutral,2.9,True,16,Works well for our team
R00409,Sales,Satisfied,,False,14,Needs better reporting
R00410,Support,Satisfied,4.7,True,17,
R00411,Sales,Dissatisfied,7.4,True,5,Needs better reporting
R00412,Sales,Satisfied,1.4,False,23,Works well for our team
R00413,Sales,Dissatisfied,5.6,True,7,Works well for our team
R00414,Engineering,Very satisfied,0.5,True,5,Needs better reporting
R00415,Engineering,Satisfied,5.0,True,38,Onboarding was confusing
R00416,Operations,Dissatisfied,7.1,True,8,
R00417,Engineering,Neutral,6.6,True,11,Needs better reporting
R00418,Design,Very satisfied,6.2,True,18,Too slow on large files
R00419,Operations,Very satisfied,4.4,True,8,Love the export options
R00420,Sales,Satisfied,1.0,True,1,Works well for our team
R00421,Support,Satisfied,0.7,True,5,Onboarding was confusing
R00422,Support,Neutral,4.9,True,21,Onboarding was confusing
R00423,Engineering,Very satisfied,3.9,True,17,Works well for our team
R00424,Support,Very satisfied,2.4,True,26,
R00425,Sales,Neutral,1.8,True,17,Love the export options
R00426,Design,Very satisfied,1.7,True,6,Works well for our team
R00427,Support,Dissatisfied,2.8,True,35,Onboarding was confusing
R00428,Design,Very satisfied,9.9,True,25,Works well for our team
R00429,Sales,Very dissatisfied,9.5,True,16,Love the export options
R00430,Support,Very satisfied,0.3,False,36,Needs better reporting
R00431,Finance,Very satisfied,3.1,False,39,Works well for our team
R00432,Sales,Neutral,2.7,True,33,Love the export options
R00433,Engineering,Very satisfied,3.2,True,28,
R00434,Sales,Dissatisfied,3.0,False,11,
R00435,Sales,Very dissatisfied,4.7,False,35,
R00436,Engineering,Very dissatisfied,3.8,False,35,
R00437,Support,Dissatisfied,1.6,False,14,Love the export options
R00438,Operations,Neutral,2.1,True,16,Works well for our team
R00439,Operations,Satisfied,1.7,True,11,
R00440,Finance,Satisfied,5.8,True,10,Onboarding was confusing
R00441,Support,Dissatisfied,3.9,True,15,Works well for our team
R00442,Engineering,Satisfied,4.3,True,26,
R00443,Support,Neutral,2.6,True,22,Needs better reporting
R00444,Operations,Very dissatisfied,3.5,True,13,Works well for our team
R00445,Finance,Satisfied,5.3,True,3,Love the export options
R00446,Support,Neutral,1.6,True,8,Needs better reporting
R00447,Support,Very satisfied,2.6,True,9,Onboarding was confusing
R00448,Sales,Neutral,2.7,True,39,Works well for our team
R00449,Finance,Neutral,4.1,True,2,
R00450,Operations,Very satisfied,4.5,False,10,Love the export options
R00451,Operations,Neutral,4.1,True,26,Works well for our team
R00452,Engineering,Very satisfied,1.1,True,21,
R00453,Engineering,Satisfied,3.8,True,34,Too slow on large files
R00454,Sales,Very satisfied,2.4,True,25,
R00455,Sales,Satisfied,1.2,True,16,Works well for our team
R00456,Design,Neutral,2.0,False,24,
R00457,Engineering,Very dissatisfied,9.2,False,11,Love the export options
R00458,Engineering,Neutral,2.6,True,9,Too slow on large files
R00459,Support,Neutral,7.2,True,20,Onboarding was confusing
R00460,Engineering,Satisfied,3.9,False,8,Love the export options
R00461,Engineering,Very satisfied,0.4,True,22,Too slow on large files
R00462,Sales,Very satisfied,4.8,True,5,Too slow on large files
R00463,Sales,Very satisfied,0.5,True,7,
R00464,Engineering,Satisfied,1.1,True,25,Works well for our team
R00465,Finance,Neutral,4.4,True,13,Works well for our team
R00466,Sales,Very satisfied,6.2,True,13,
R00467,Operations,Very satisfied,0.5,False,31,Onboarding was confusing
R00468,Operations,Neutral,2.2,True,13,Too slow on large files
R00469,Engineering,Very dissatisfied,4.5,False,25,Love the export options
R00470,Sales,Satisfied,5.3,True,27,
R00471,Support,Dissatisfied,1.2,True,24,Love the export options
R00472,Support,Satisfied,0.8,True,25,Needs better reporting
R00473,Sales,Neutral,2.0,False,37,
R00474,Sales,Very satisfied,4.2,False,39,Needs better reporting
R00475,Operations,Neutral,1.2,True,39,Love the export options
R00476,Sales,Dissatisfied,2.0,False,27,Love the export options
R00477,Operations,Satisfied,1.1,True,32,
R00478,Engineering,Very satisfied,8.7,True,29,Too slow on large files
R00479,Engineering,Very satisfied,4.5,True,14,Love the export options
R00480,Sales,Neutral,2.3,True,20,Love the export options
R00481,Finance,Neutral,0.9,False,7,Too slow on large files
R00482,Operations,Very satisfied,2.6,True,15,Too slow on large files
R00483,Sales,Neutral,5.1,True,9,Love the export options
R00484,Operations,Dissatisfied,2.2,False,8,Love the export options
R00485,Sales,Neutral,1.7,False,28,Needs better reporting
R00486,Engineering,Neutral,4.3,False,4,Onboarding was confusing
