sepal_length,sepal_width,petal_length,petal_width,species
6.08,2.78,4.02,1.56,borealis
4.82,3.33,1.49,0.38,andina
5.22,2.56,4.2,1.31,borealis
4.85,2.45,4.16,1.49,borealis
6.41,3.08,5.42,1.98,carinata
6.58,2.99,4.11,1.65,carinata
6.08,2.8,4.54,1.61,borealis
5.7,2.54,4.76,1.87,borealis
5.03,3.19,1.68,0.6,andina
5.63,2.7,4.62,1.48,borealis
6.33,2.75,5.88,1.93,carinata
6.43,2.72,5.1,1.95,borealis
5.37,3.31,1.65,0.61,andina
7.72,3.48,5.28,1.76,carinata
4.81,3.13,1.24,0.55,andina
7.06,3.42,5.09,1.94,carinata
4.83,3.27,2.06,0.93,andina
6.27,2.73,6.37,2.25,carinata
4.82,2.72,1.72,0.65,andina
4.43,2.22,4.69,1.67,borealis
4.78,3.13,1.65,0.73,andina
4.64,2.69,1.44,0.39,andina
5.9,2.79,5.02,1.82,borealis
7.11,2.92,5.92,2.04,carinata
4.52,2.7,1.56,0.43,andina
4.49,2.96,1.41,0.47,andina
6.5,3.15,4.12,1.41,borealis
5.42,2.22,6.62,2.37,carinata
5.7,2.71,4.63,1.55,borealis
7.01,3.06,4.45,1.64,borealis
6.52,3.31,4.08,1.49,borealis
6.25,2.71,3.95,1.44,borealis
6.72,3.33,4.85,1.77,borealis
6.83,3.13,5.68,2.13,carinata
6.12,2.81,4.19,1.56,borealis
4.81,3.02,1.73,0.59,andina
6.69,3.19,4.48,1.73,borealis
6.33,3.0,5.39,1.94,carinata
5.78,3.1,4.1,1.44,borealis
5.17,3.15,1.23,0.49,andina
6.44,2.9,5.18,1.84,carinata
6.04,2.76,4.28,1.6,borealis
5.14,2.34,6.12,2.25,carinata
7.17,2.96,4.88,1.69,carinata
5.84,2.88,5.01,1.7,borealis
6.72,3.05,4.6,1.64,carinata
6.8,3.17,5.3,1.65,carinata
7.1,2.97,5.48,1.81,carinata
5.7,2.48,2.88,1.19,borealis
6.89,2.94,5.53,1.89,carinata
5.29,3.31,1.51,0.72,andina
4.62,2.71,1.38,0.4,andina
6.48,3.07,6.47,2.52,carinata
7.51,3.33,6.71,2.33,carinata
6.41,2.71,3.82,1.41,borealis
