Order Date,Region ,Total Revenue,unitsSold,Discount %
2025-07-10,North America,133889.18,2667,3.4
2025-08-06,APAC,75529.8,1645,6.7
2024-02-22,APAC,41541.67,1033,9.3
2025-10-13,APAC,77579.88,1521,1.1
2025-11-03,LATAM,26229.32,647,11.8
2025-07-13,North America,125561.51,2614,8.9
2024-03-24,LATAM,19092.25,443,2.5
2024-12-15,North America,96750.41,2049,4.3
2025-03-22,North America,114106.9,2578,6.4
2025-03-05,North America,138905.94,2893,12.4
2024-01-06,North America,50035.55,1140,9.4
2024-08-13,North America,89328.42,1793,4.5
2025-08-03,EMEA,61430.07,1198,7.0
2024-05-23,APAC,51095.98,1342,6.7
2025-12-17,North America,159393.58,3904,2.5
2025-10-21,LATAM,26873.53,626,6.6
2025-09-30,LATAM,25359.0,505,11.3
2025-04-10,LATAM,27937.2,605,3.2
2024-04-22,EMEA,53096.91,1043,11.0
2025-09-07,North America,120953.42,2516,2.0
2025-10-26,LATAM,21092.81,492,4.5
2024-07-23,EMEA,54030.43,1090,1.9
2025-04-12,EMEA,61373.61,1533,4.4
2025-07-10,APAC,74459.68,1810,9.3
2024-10-12,APAC,38232.97,859,3.8
2024-01-02,North America,70517.74,1464,5.1
2025-12-08,EMEA,79149.87,2040,2.1
2024-05-10,LATAM,22870.61,555,9.6
2025-07-11,North America,146927.59,3529,5.1
2024-11-28,LATAM,20364.34,494,9.2
2025-07-08,APAC,73667.63,1795,2.4
2024-04-01,APAC,42446.32,1076,0.9
2025-09-23,EMEA,69150.15,1681,2.9
2024-12-30,North America,121034.57,2823,3.7
2024-08-27,LATAM,20022.39,497,7.0
2024-01-28,EMEA,33169.84,766,3.9
2024-12-29,LATAM,18110.34,423,9.4
2024-11-18,APAC,54722.71,1070,6.1
2024-04-27,North America,83146.42,1901,3.0
2025-06-17,North America,143137.24,3221,5.7
2024-11-09,EMEA,36455.29,775,5.4
2024-07-08,North America,91452.76,1868,5.3
2024-03-09,EMEA,43499.08,1106,3.2
2024-09-23,LATAM,20518.1,526,6.8
2025-05-07,North America,134119.77,3103,6.4
2025-12-17,LATAM,28499.52,739,10.9
2025-02-14,LATAM,28837.05,676,11.6
2024-10-07,EMEA,53230.38,1156,1.5
2024-06-14,LATAM,21941.29,489,13.9
2024-04-11,EMEA,56497.51,1397,4.4
2025-05-15,APAC,77761.48,1981,2.1
2025-01-03,EMEA,65567.5,1315,7.2
2025-04-21,APAC,73904.46,1452,5.0
2025-05-17,EMEA,59742.2,1518,3.2
2024-08-30,LATAM,19005.79,417,15.2
2024-03-20,EMEA,51954.63,1002,0.5
2025-06-08,APAC,65446.35,1398,3.5
2024-12-11,APAC,57825.73,1113,1.6
2025-05-03,APAC,68110.56,1366,7.5
2025-10-04,EMEA,59384.05,1310,6.1
2024-02-27,LATAM,20445.73,502,9.7
2025-03-12,North America,141550.67,2883,8.7
2024-11-16,APAC,41379.55,1016,2.0
2025-02-10,LATAM,25473.05,668,10.2
2025-06-12,LATAM,27613.33,609,7.7
2025-07-16,APAC,76569.1,1643,6.7
2024-07-29,LATAM,20980.46,404,4.0
2025-08-05,LATAM,26012.12,580,1.2
2025-03-09,APAC,64939.26,1600,4.4
2024-12-28,LATAM,17948.46,364,3.7
2024-06-07,EMEA,50036.51,1260,8.1
2024-02-24,EMEA,41771.61,1048,10.5
2024-08-23,North America,90073.19,2070,7.3
2024-03-03,EMEA,40840.12,992,4.6
2024-08-29,EMEA,44751.69,1031,10.0
2024-05-11,EMEA,40665.32,876,6.9
2024-09-08,North America,76756.89,1484,4.2
2025-07-26,APAC,66293.82,1679,8.6
2025-02-21,North America,136508.12,2987,3.4
2024-03-25,EMEA,62898.33,1334,6.6
2025-12-15,APAC,83623.96,2127,1.6
2024-01-18,APAC,32565.63,719,4.5
2025-05-23,APAC,,1524,1.9
2025-09-06,APAC,67195.77,1656,7.7
2025-04-21,EMEA,72155.41,1440,8.5
2025-11-29,APAC,74131.03,1741,6.2
2024-06-25,APAC,48697.54,1073,1.6
2024-03-17,EMEA,43154.67,962,2.3
2025-06-07,EMEA,60528.51,1286,4.6
2025-08-22,North America,139561.12,3464,11.9
2025-09-15,LATAM,26699.51,533,4.6
2024-02-07,LATAM,22596.92,575,3.3
2024-12-15,APAC,52403.16,1109,6.8
2025-04-27,APAC,63861.59,1263,4.5
2025-08-07,North America,144275.67,3096,1.4
2025-04-08,North America,143092.9,3062,5.0
2024-12-02,EMEA,60589.58,1406,1.3
2025-01-29,EMEA,69384.32,1431,4.8
2025-12-24,North America,159874.22,4161,6.5
2025-08-20,LATAM,25880.0,586,7.6
2025-12-16,APAC,87456.63,1737,4.8
2024-09-29,North America,79507.07,1684,5.0
2024-04-03,EMEA,56353.59,1310,10.7
2024-01-05,North America,78632.03,1726,12.0
2024-09-19,LATAM,18605.84,466,4.7
2024-05-17,EMEA,60046.68,1428,8.8
2024-08-24,EMEA,38392.1,847,2.0
2024-05-02,LATAM,23467.81,613,5.0
2024-02-03,APAC,26684.63,702,9.9
2024-12-03,APAC,55623.22,1120,5.1
2025-12-24,LATAM,27787.08,596,3.6
2024-10-30,LATAM,19841.73,405,3.7
2025-12-30,EMEA,86624.98,1953,2.9
2025-04-29,LATAM,30325.29,593,2.9
2025-08-19,EMEA,72154.04,1888,5.1
2024-09-24,APAC,49553.49,1294,3.6
2024-04-02,LATAM,23899.22,496,3.2
2024-11-04,APAC,49257.3,1251,10.8
2025-11-13,North America,153692.81,3065,6.8
2025-09-03,LATAM,25798.78,610,1.3
2024-09-05,APAC,45709.76,1079,17.0
2025-10-10,North America,140825.85,2769,9.7
2024-02-01,North America,78752.95,1901,10.0
2024-05-06,North America,96061.36,2299,6.5
2025-09-29,LATAM,24621.43,511,5.1
2024-04-24,LATAM,22265.01,480,4.6
2025-11-25,APAC,84773.3,2083,6.0
2024-11-29,APAC,57011.76,1130,6.1
2024-07-16,North America,96051.65,1925,2.5
2024-04-18,North America,92052.39,2410,8.1
2024-02-01,LATAM,18681.75,406,2.9
2025-05-01,LATAM,27321.25,541,5.7
2025-11-07,APAC,79706.3,1645,8.8
2024-09-20,North America,95143.7,2048,15.6
2025-10-21,EMEA,71870.78,1551,3.5
2024-06-08,LATAM,16377.66,321,3.0
2025-03-16,North America,119367.02,2799,4.7
2024-03-13,EMEA,56110.58,1402,0.4
2025-12-26,APAC,93490.24,2350,4.2
2024-06-01,APAC,34894.04,757,7.6
2025-01-31,North America,123994.26,3086,3.8
2024-08-30,LATAM,19005.79,417,15.2
2025-07-09,LATAM,29498.36,759,3.3
2024-12-17,LATAM,24502.83,472,8.9
2025-02-10,APAC,66566.83,1472,10.9
2025-06-03,LATAM,29576.19,634,4.3
2024-05-09,EMEA,53990.41,1250,3.8
2025-06-09,APAC,71370.95,1400,13.3
2024-09-30,LATAM,17216.87,388,1.6
2025-04-30,LATAM,28903.23,646,5.9
2024-02-29,APAC,42308.74,957,8.1
2024-10-25,LATAM,19415.97,505,15.5
2024-04-25,APAC,44916.88,882,5.0
2024-08-09,EMEA,48146.61,936,8.0
2025-12-29,North America,168245.22,3777,3.9
2025-03-03,North America,132303.24,3417,0.4
2024-12-14,APAC,47540.99,927,6.0
2025-02-05,EMEA,67838.79,1472,13.3
2025-06-21,APAC,68254.0,1416,3.4
2024-05-21,LATAM,23619.42,474,3.4
2024-06-25,North America,94828.05,1954,6.5
2024-06-06,APAC,45555.64,1101,0.5
2024-03-09,LATAM,19616.43,398,3.8
2025-10-26,North America,131741.51,2619,11.2
2025-04-27,LATAM,23759.33,624,6.9
2025-10-31,North America,150357.98,3007,2.2
2024-05-17,APAC,47529.77,1116,8.5
2024-01-05,EMEA,46296.88,939,2.6
2025-03-26,North America,143588.07,3363,3.3
2024-10-02,North America,97211.11,2516,10.8
2024-03-10,EMEA,43985.06,1089,7.9
2025-11-28,APAC,85103.32,1739,7.8
2024-11-26,North America,109204.39,2327,14.1
2024-01-08,North America,75634.58,1493,12.1
2024-04-12,North America,100030.05,2229,1.7
2025-11-20,North America,,3879,3.7
2025-07-23,North America,143717.02,2770,1.8
2025-06-14,EMEA,62952.28,1640,4.8
2024-02-18,EMEA,39265.52,1009,5.3
2024-09-10,EMEA,50882.36,1022,1.9
2025-05-20,EMEA,78186.94,1547,12.2
2024-12-25,LATAM,25102.64,551,3.6
2025-04-13,EMEA,60224.72,1195,8.5
2025-03-06,North America,139131.32,3482,4.7
2025-08-12,LATAM,26095.54,560,2.3
2024-03-01,EMEA,51892.64,1062,6.0
2024-01-24,EMEA,49592.06,1203,12.2
2024-03-22,APAC,48699.07,1272,0.6
2024-05-22,APAC,49066.35,1059,5.2
2024-12-07,EMEA,50075.62,1053,8.9
2024-08-21,North America,94133.22,1882,8.2
2025-04-12,APAC,63755.47,1597,7.0
2024-07-01,LATAM,21469.08,467,1.4
2024-02-15,North America,,1732,1.8
2024-12-11,LATAM,20403.19,452,1.6
2025-10-09,LATAM,,603,5.4
2024-02-04,APAC,30420.16,708,0.6
2025-01-27,APAC,64719.14,1281,5.1
2025-09-20,APAC,66321.73,1289,6.3
2024-11-05,APAC,51339.52,1106,6.3
2024-12-04,EMEA,55956.83,1248,6.3
2025-08-27,North America,141350.17,3350,2.3
2024-11-10,LATAM,15439.77,360,6.1
2024-01-03,North America,76723.03,1485,1.6
2024-08-29,North America,95065.99,2186,4.4
2025-06-07,LATAM,,546,9.7
2025-10-11,EMEA,56906.67,1222,7.9
2025-03-21,North America,141996.45,3315,4.4
2024-11-13,EMEA,58644.07,1199,0.5
2025-06-25,APAC,75484.65,1773,3.9
2024-11-28,EMEA,56026.3,1138,14.6
2025-11-12,EMEA,71988.67,1490,1.0
2024-04-13,EMEA,45590.26,1183,10.4
2025-04-20,LATAM,26145.87,538,9.5
2025-05-04,APAC,67139.33,1319,6.3
2024-06-01,LATAM,17450.2,367,9.1
2025-04-20,EMEA,66294.38,1447,1.9
2024-03-26,North America,100317.92,2379,4.5
2025-08-07,EMEA,68786.06,1694,6.0
2024-04-10,North America,96074.27,2064,8.6
2024-07-03,EMEA,51693.6,1065,6.6
2024-12-09,LATAM,24831.13,521,7.3
2025-02-20,APAC,70369.41,1566,6.3
2025-04-24,APAC,77380.64,1779,7.8
2025-05-15,LATAM,29909.84,595,10.6
2024-09-10,APAC,46353.07,927,6.8
2024-03-08,APAC,,918,7.2
2024-04-12,EMEA,57363.67,1179,4.0
2024-11-30,North America,86488.84,1966,2.8
2024-07-17,APAC,47281.65,935,5.8
2025-11-22,North America,136913.32,3207,7.0
2025-11-22,EMEA,62536.38,1406,1.3
2025-05-11,APAC,67009.66,1552,10.6
2024-09-08,LATAM,13516.77,308,12.7
2024-08-11,North America,65018.21,1300,6.8
2025-07-05,EMEA,63078.14,1214,13.5
2025-07-04,North America,144435.4,3328,1.1
2024-04-23,LATAM,20618.11,421,10.6
2024-07-02,LATAM,22029.56,442,5.2
2025-09-16,LATAM,23427.7,483,4.0
2024-05-09,LATAM,24829.24,631,4.0
2024-09-20,EMEA,53032.94,1166,9.0
2024-08-21,LATAM,21161.29,454,4.4
2025-04-04,North America,142128.79,2739,3.2
2024-12-19,APAC,61875.58,1473,4.8
2025-09-12,EMEA,68153.69,1426,7.5
2025-06-04,EMEA,73517.91,1681,7.8
2024-01-25,LATAM,20267.31,416,10.6
2025-04-13,APAC,65663.33,1481,1.6
2025-06-14,APAC,64418.95,1529,12.4
2025-03-07,EMEA,,1514,3.8
2025-05-10,LATAM,21914.35,485,5.7
2024-06-26,APAC,49287.88,1142,6.4
2024-07-06,LATAM,14739.44,340,3.6
2024-07-25,LATAM,21651.31,476,20.2
2024-08-17,LATAM,14606.37,331,3.8
2025-05-08,APAC,73783.98,1464,5.5
2025-08-27,LATAM,24871.68,490,4.8
2024-10-20,APAC,39715.25,766,9.2
2025-09-14,North America,116268.72,2701,3.6
2025-02-21,LATAM,27826.54,612,4.6
2024-04-25,North America,92504.45,2202,2.5
2025-04-03,North America,144704.07,3170,5.1
2025-01-10,North America,117181.87,2447,2.2
2024-01-03,LATAM,,514,9.4
2025-09-04,APAC,73977.13,1650,7.9
2024-07-18,APAC,47499.87,1072,2.3
2025-09-17,North America,150672.16,3014,13.4
2025-06-18,North America,141674.79,3008,4.3
2025-01-21,APAC,64679.56,1477,5.9
2025-05-14,EMEA,71298.3,1389,8.7
2025-10-05,EMEA,58242.03,1130,2.6
2024-04-05,EMEA,56079.41,1437,6.9
2025-04-16,LATAM,29559.28,614,13.9
2025-09-11,LATAM,24110.94,582,1.1
2025-10-06,LATAM,25448.14,551,3.0
2025-05-03,EMEA,,1410,13.3
2025-01-29,North America,135245.46,3193,3.1
2024-08-07,EMEA,51621.24,1139,3.2
2024-08-21,APAC,44450.16,1092,4.9
2024-11-06,North America,100393.55,2368,8.4
2024-11-19,LATAM,22328.93,469,11.2
2024-06-28,LATAM,21031.86,424,3.8
2025-04-06,LATAM,25121.65,613,6.1
2024-11-15,North America,107329.71,2347,2.2
2024-11-21,APAC,53928.37,1404,1.6
2025-06-17,APAC,74562.08,1837,8.3
2025-07-17,LATAM,27776.88,563,9.0
2025-06-03,APAC,74555.13,1770,4.5
2024-04-21,EMEA,42307.14,871,6.4
2024-11-02,LATAM,16605.7,328,4.8
2025-05-20,North America,143959.53,2841,7.7
2024-05-28,EMEA,54924.2,1340,2.8
2025-12-09,LATAM,29064.05,731,1.9
2024-09-17,EMEA,45562.19,1045,3.7
2025-01-10,EMEA,64664.18,1399,4.8
2024-01-19,EMEA,47020.45,916,2.7
2024-04-05,North America,98401.41,2110,4.4
2025-11-15,EMEA,60261.73,1226,6.1
2025-07-21,LATAM,27027.98,700,6.5
2024-09-30,EMEA,45815.09,1049,5.8
2025-04-02,APAC,69862.95,1524,1.4
2025-06-13,North America,136629.6,2919,4.2
2024-06-27,APAC,43922.37,869,3.8
2025-04-25,EMEA,80675.85,1745,0.8
2024-09-03,LATAM,18624.24,385,2.4
2024-04-28,APAC,41168.81,980,5.1
2025-05-26,EMEA,73695.64,1726,14.5
2024-05-12,APAC,32568.55,659,11.6
2024-02-05,LATAM,18787.01,473,7.0
2024-09-25,EMEA,49806.1,961,1.9
2024-07-12,LATAM,21810.3,466,3.1
2024-04-09,APAC,48065.32,1242,3.7
2024-03-30,APAC,37794.3,892,3.5
2025-04-28,APAC,75589.39,1507,7.2
2024-12-29,EMEA,51186.11,1239,3.6
2025-02-07,North America,136018.82,2868,6.2
2025-02-28,North America,140218.67,3335,10.1
2024-02-03,EMEA,38572.91,1005,11.5
2025-10-17,EMEA,70591.35,1655,3.4
2025-08-09,North America,115154.79,2226,2.4
2025-01-15,LATAM,24726.44,566,4.7
2025-06-10,EMEA,70695.7,1622,8.3
2025-03-19,North America,141850.58,2737,7.1
2025-12-08,North America,155824.15,3792,4.0
2025-04-19,APAC,65047.21,1435,1.3
2024-10-05,EMEA,38201.53,829,5.9
2025-06-21,EMEA,57787.29,1445,8.4
2024-06-04,North America,99835.41,2363,5.3
2024-09-21,APAC,41174.71,882,10.9
2024-12-28,EMEA,49648.76,997,9.6
2024-09-16,North America,93615.32,1806,6.3
2024-04-04,APAC,42020.61,900,15.2
2025-08-06,LATAM,25322.59,505,0.8
2025-02-18,North America,137007.56,3013,4.0
2025-12-17,EMEA,77813.73,1694,1.0
2024-10-27,North America,84197.42,1742,12.3
2025-08-09,EMEA,59775.78,1213,3.1
2025-10-01,EMEA,68314.33,1379,3.0
2025-06-05,EMEA,75987.91,1797,10.8
2024-04-13,North America,76602.41,1572,3.1
2024-05-10,EMEA,56923.16,1215,5.7
2025-11-24,LATAM,25712.71,639,9.3
2025-11-08,APAC,70655.73,1413,3.1
2025-06-03,LATAM,29576.19,634,4.3
2025-12-06,North America,129599.39,3000,2.8
2024-02-20,North America,91722.85,2351,2.6
2024-10-25,APAC,53586.39,1134,2.0
2025-11-09,LATAM,23262.44,496,2.0
2025-08-22,EMEA,71001.21,1388,6.3
2024-03-23,EMEA,40501.83,815,6.3
2025-01-20,EMEA,72278.52,1891,3.4
2024-08-18,EMEA,31955.39,627,2.6
2025-01-08,North America,119638.33,2407,7.6
2024-10-04,APAC,50370.11,1106,3.5
2024-11-28,North America,112091.49,2773,6.5
2024-04-06,APAC,37913.65,775,6.7
2024-08-01,North America,98428.07,2012,10.2
2025-09-02,LATAM,24600.07,577,8.4
2024-08-15,EMEA,49866.17,1036,4.1
2024-09-27,EMEA,51839.01,1317,5.6
2024-04-21,North America,68154.45,1453,2.2
2025-08-30,APAC,66488.18,1578,6.2
2025-08-07,APAC,76997.9,1573,0.6
2024-08-26,North America,89221.84,1860,14.6
2025-08-11,APAC,71510.44,1443,9.3
2024-08-28,EMEA,47195.43,1105,9.0
2024-07-22,North America,84265.98,1765,7.5
2024-03-08,North America,97395.55,1899,11.7
2025-09-13,EMEA,60251.28,1188,4.4
2025-09-18,North America,141298.05,3463,7.4
2024-08-18,North America,78610.53,2010,2.7
2025-10-03,LATAM,26380.27,524,0.9
2025-09-05,EMEA,67786.84,1318,10.1
2024-09-17,LATAM,17699.33,464,7.2
2024-04-23,APAC,46487.56,1013,14.5
2024-11-30,LATAM,15609.96,363,9.5
2024-10-17,EMEA,50717.42,999,8.1
2024-04-15,APAC,43269.43,1080,11.5
2025-10-04,LATAM,17896.21,433,3.7
2024-11-04,LATAM,22524.16,484,8.2
2025-09-04,North America,150757.26,3060,2.2
2024-08-11,APAC,42079.85,1049,5.0
2025-09-12,LATAM,23349.78,611,2.1
2025-05-09,EMEA,73634.47,1458,4.6
2025-02-19,North America,136042.83,3303,3.8
2025-08-13,APAC,69238.76,1694,8.3
2025-07-28,North America,140777.74,2970,10.5
2024-02-26,LATAM,23395.68,582,5.9
2024-09-28,LATAM,14404.47,330,2.5
2024-05-20,EMEA,55381.7,1145,12.4
2025-08-28,LATAM,24633.8,509,3.3
2025-11-02,EMEA,62231.24,1524,8.4
2025-07-23,APAC,75601.96,1846,7.7
2025-12-01,APAC,80169.63,1685,1.3
2025-01-25,APAC,58220.73,1329,9.3
2024-10-13,EMEA,38778.1,1008,10.1
2025-10-12,North America,129453.0,2731,10.1
2024-09-24,EMEA,49459.39,1139,4.5
2024-12-18,LATAM,24272.02,613,12.2
2024-09-11,APAC,45979.53,1111,5.7
2024-07-21,LATAM,14103.48,325,7.9
2024-06-29,APAC,36505.84,928,1.4
2024-10-02,APAC,45469.07,930,2.3
2025-06-26,LATAM,26859.42,654,2.1
2024-11-13,LATAM,21216.28,412,10.5
2024-04-30,LATAM,24168.86,587,6.9
2024-03-17,North America,75438.07,1695,1.7
2024-01-01,APAC,34303.11,854,2.5
2024-12-23,APAC,61437.79,1606,2.3
2025-04-25,LATAM,,525,3.2
2024-05-25,LATAM,19133.25,473,7.4
2024-12-04,North America,111789.55,2317,2.5
2024-07-28,EMEA,41208.59,860,5.0
2025-05-15,North America,145885.21,2884,9.2
2024-10-18,North America,99905.98,2415,8.5
2025-12-04,LATAM,26489.93,571,4.2
2024-08-03,APAC,36345.74,714,10.5
2024-07-06,APAC,35417.66,775,8.5
2025-10-20,North America,148488.34,3019,14.5
2025-11-12,LATAM,26234.19,599,13.1
2025-05-03,LATAM,22570.59,453,5.5
2024-07-18,EMEA,52275.94,1305,8.4
2024-10-29,LATAM,22835.21,512,1.1
2024-01-15,EMEA,48343.18,1071,4.3
2024-07-27,EMEA,42769.88,1001,0.4
2025-08-04,EMEA,69671.62,1465,5.1
2025-12-01,North America,158278.65,3791,4.2
2025-09-03,EMEA,70568.03,1828,8.9
2025-10-14,EMEA,,1592,10.3
2024-01-16,APAC,31973.17,623,16.9
2024-01-04,North America,63926.68,1475,3.4
2025-11-24,North America,149996.84,3700,5.4
2024-07-29,APAC,46209.93,956,8.9
2025-11-14,APAC,77610.27,1696,10.7
2024-04-29,EMEA,57607.23,1502,1.4
2025-11-19,APAC,81867.89,2058,5.6
2025-06-19,North America,150439.3,3185,8.7
2024-04-16,APAC,42931.62,876,3.7
2024-10-21,EMEA,51371.35,1024,5.4
2024-06-16,APAC,37271.32,803,12.1
2024-08-18,LATAM,12934.77,267,12.2
2025-11-18,APAC,78626.91,1545,6.3
2024-10-31,LATAM,22338.61,508,9.1
2024-10-21,North America,99960.22,2153,14.4
2024-01-09,EMEA,42180.2,849,1.5
2024-11-06,EMEA,,1174,0.9
2024-05-28,LATAM,22506.98,447,12.9
2025-09-23,LATAM,23565.49,467,1.9
2025-04-22,EMEA,72993.89,1732,10.2
2024-04-26,LATAM,24007.29,609,8.2
2024-11-10,APAC,45692.84,1192,5.7
2024-07-05,LATAM,20364.81,504,8.0
2025-05-19,EMEA,,1460,2.3
2024-09-10,North America,89434.36,2001,8.3
2024-12-20,EMEA,63415.32,1647,7.2
2025-08-10,LATAM,19655.44,435,7.4
2024-02-07,EMEA,53177.08,1116,4.6
2025-02-19,APAC,64258.27,1597,7.6
2025-04-14,North America,149300.79,3369,9.7
2025-06-06,LATAM,29328.01,680,9.4
2024-06-02,LATAM,15763.23,317,5.2
2025-10-20,EMEA,66851.98,1723,2.1
2025-05-26,LATAM,27365.25,700,2.1
2024-12-04,LATAM,21634.46,483,11.7
2025-09-14,APAC,65548.34,1323,3.0
2025-07-31,North America,140343.45,2983,4.3
2024-10-16,APAC,44153.23,903,6.4
2024-05-13,LATAM,24411.69,532,3.9
2024-07-30,LATAM,19811.03,422,4.7
2025-10-25,North America,124423.21,2420,1.1
2025-01-01,North America,117916.49,2307,1.6
2024-07-26,LATAM,22050.01,510,3.2
2025-02-28,APAC,70272.21,1381,6.6
2024-05-12,LATAM,18844.86,399,1.4
2025-02-22,EMEA,62269.12,1393,4.9
2025-07-17,North America,138131.31,3244,5.2
2025-03-12,LATAM,28263.03,668,9.4
2025-05-19,North America,150162.97,2901,10.3
2025-10-25,EMEA,58198.73,1418,11.9
2024-07-07,APAC,37574.75,982,4.7
2024-10-19,LATAM,14717.94,366,6.7
2025-08-25,APAC,76720.21,1786,10.2
2025-01-28,North America,131615.56,2919,3.3
2025-02-12,North America,129840.15,2677,7.7
2024-01-27,APAC,26180.64,545,0.6
2024-03-06,APAC,37898.45,805,5.5
2024-07-21,EMEA,36328.39,867,4.9
2025-03-29,LATAM,23896.94,560,7.1
2024-02-04,North America,61592.07,1248,3.8
2025-04-01,North America,149046.22,3173,3.1
2025-02-12,LATAM,26603.57,557,5.3
2025-01-04,EMEA,52901.21,1162,9.3
